scenario_id,appliance,efficiency,location,tariff,battery_scenario,capex_usd,npc_usd,total_co2e_kg,diesel_co2e_kg,co2e_saving_vs_diesel,n_replacements,total_replacement_cost,residual_value,pv_size_wp,battery_kwh,solar_factor,annual_maint_usd,manufacturing_co2e,replacement_co2e
pump_efficient_turkana_flat_poor_usage,pump,efficient,turkana,flat,poor_usage,1356.4,2680.88,1599.7,3353.8,1754.1,3,1228.5,0.0,490.0,1.5,1.111,12.0,699.7,900.0
pump_efficient_turkana_time_of_use_poor_usage,pump,efficient,turkana,time_of_use,poor_usage,1356.4,2594.76,1599.7,3353.8,1754.1,3,1228.5,0.0,490.0,1.5,1.111,12.0,699.7,900.0
pump_efficient_kisumu_flat_poor_usage,pump,efficient,kisumu,flat,poor_usage,1360.1,2684.59,1592.2,3353.8,1761.6,3,1228.5,0.0,502.0,1.5,1.0836,12.0,692.2,900.0
pump_efficient_kisumu_time_of_use_poor_usage,pump,efficient,kisumu,time_of_use,poor_usage,1360.1,2598.46,1592.2,3353.8,1761.6,3,1228.5,0.0,502.0,1.5,1.0836,12.0,692.2,900.0
mill_standard_turkana_flat_poor_usage,mill,standard,turkana,flat,poor_usage,1266.22,3848.23,1277.3,11179.4,9902.1,4,1355.1,178.7,675.0,0.9,1.111,40.8,727.3,550.0
mill_standard_turkana_time_of_use_poor_usage,mill,standard,turkana,time_of_use,poor_usage,1266.22,3561.15,1277.3,11179.4,9902.1,4,1355.1,178.7,675.0,0.9,1.111,40.8,727.3,550.0
mill_standard_kisumu_flat_poor_usage,mill,standard,kisumu,flat,poor_usage,1271.33,3853.34,1267.0,11179.4,9912.5,4,1355.1,178.7,692.0,0.9,1.0836,40.8,717.0,550.0
mill_standard_kisumu_time_of_use_poor_usage,mill,standard,kisumu,time_of_use,poor_usage,1271.33,3566.26,1267.0,11179.4,9912.5,4,1355.1,178.7,692.0,0.9,1.0836,40.8,717.0,550.0
mill_efficient_turkana_flat_poor_usage,mill,efficient,turkana,flat,poor_usage,2038.22,4623.76,1277.3,11179.4,9902.1,4,2127.1,476.36,675.0,0.9,1.111,40.8,727.3,550.0
mill_efficient_turkana_time_of_use_poor_usage,mill,efficient,turkana,time_of_use,poor_usage,2038.22,4336.69,1277.3,11179.4,9902.1,4,2127.1,476.36,675.0,0.9,1.111,40.8,727.3,550.0
mill_efficient_kisumu_flat_poor_usage,mill,efficient,kisumu,flat,poor_usage,2043.33,4628.87,1267.0,11179.4,9912.5,4,2127.1,476.36,692.0,0.9,1.0836,40.8,717.0,550.0
mill_efficient_kisumu_time_of_use_poor_usage,mill,efficient,kisumu,time_of_use,poor_usage,2043.33,4341.8,1267.0,11179.4,9912.5,4,2127.1,476.36,692.0,0.9,1.0836,40.8,717.0,550.0
